C16,Notts AS,Notts Archery Society
C17,Northamptonshire AA,Northamptonshire Archery Association
C18,Linconshire AA,Lincolnshire Archery Assc
C19,Leics & Rutland A A,Leics & Rutland A A
C20,Derbyshire AA,Derbyshire Archery Assoc.
C21,Bedfordshire AA,Bedfordshire A A
C22,Berkshire A.A.,Berkshire A.A.
C23,Buckinghamshire A A,Buckinghamshire A A
C24,Cambridgeshire A A,Cambridgeshire A A
C25,Cheshire A A,Cheshire A A
C26,Cumbria County A A,Cumbria County A A
C27,Devon & Cornwall AS,Devon & Cornwall Arch Soc
C28,Dorset & Wiltshire AA,Dorset & Wiltshire A A
C29,Durham & Northumberland AA,Durham & Northumberland AA
C30,Dyfed A A,Dyfed A A
C31,Essex & Suffolk A A,Essex & Suffolk A A
C32,Glamorgan A A,Glamorgan A A
C33,Gloucester A S,Gloucester A S
C34,Gwent A A,Gwent A A
C35,Hampshire A A,Hampshire A A
C36,Hereford A A,Hereford A A
C37,SAA Eastern Area,SAA Eastern Area
C38,Hertfordshire A A,Hertfordshire A A
C39,Kent A A,Kent A A
C40,London A A,London A A
C41,Middlesex A A,Middlesex A A
C42,Norfolk A A,Norfolk A A
C43,Oxfordshire A A,Oxfordshire A A
C44,Powys AA,Powys Archery Association
C45,Shropshire A.S,Shropshire A.S
C46,Somerset A A,Somerset A A
C47,Staffordshire A A,Staffordshire A A
C48,Surrey A A,Surrey A A
C49,Sussex County A A,Sussex County A A
C50,Warwickshire A A,Warwickshire A A
C51,Worcestershire A A,Worcestershire A A
C52,Yorkshire A A,Yorkshire A A
C53,SAA Western Area,SAA Western Area
C54,SAA Northern Area,SAA Northern Area
C55,Lancashire A A,Lancashire A A
C59,Per Ardua,Per Ardua
C60,Northern Ireland,Northern Ireland
C61,North Wales AS,North Wales Archery Society
C62,Isle of Man AA,Isle of Man Archery Association
R4,GWAS,Grand Western A S
R5,WMAS,West Midlands Archery Society
R6,NCAS,Northern Counties A S
R7,EMAS,East Midlands A S
R8,SCAS,Southern Counties A S
R9,WAA,Welsh Archery Association
R10,NIAS,Northern Ireland A S
R11,Archery GB.,Archery GB.
R12,SAA,Scottish Archery Assoc
R14,Per,Per
